Lugar Fecha #Toma Rate(counts/s) Rate(counts/min) MeanAmplitude
Caldas 030623 1 2.2030564116292415 132.1833846977545 182.0219123505976
Caldas 030623 2 2.2852310608672246 137.11386365203347 185.69138495092693
Caldas 030623 3 2.1684712402047994 130.10827441228795 185.52197172334735
Caldas 030623 4 2.179565095890455 130.7739057534273 184.3218221895665
Caldas 030623 5 2.2157573139166935 132.94543883500162 189.05086541858
Caldas 050623 1 2.245127445882567 134.70764675295402 182.04278379920137
Caldas 050623 2 2.239146965939 134.34881795634 186.8140060240964
Caldas 050623 3 2.266476089449668 134.70764675295402 186.6728334956183
Boston 050623 1 1.2193585061484091 73.16151036890454 210.18581638262782
Boston 050623 2 1.2635997384889146 75.81598430933488 210.71611355457816
Boston 050623 3 1.256330815648339 75.37984893890034 201.68899941486248
